"","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Bacteroidetes","Bacteroidales","Bacteroidetes.1","Porphyromonadaceae","Campylobacter","Proteobacteria","Erysipelotrichaceae","Fusobacteriales","Firmicutes"
"Sample-57",0.000466345406497746,0.00264262397015389,0,0.530234727187937,0.0455464013679465,0,0.00886056272345717,0,0.0203637494170682,0.00932690812995492,0.00248717550132131,0.380071506295663
"Sample-60",0.000868809730668983,0.0228372843490133,0,0.530470398411319,0.0600719870919697,0,0.00409581730172521,0.00707459352116172,0.159488643415663,0.00173761946133797,0.00484051135658434,0.208514335360556
"Sample-62",0.00116522955022139,0.0219063155441622,0,0.30226054532743,0.0868096014914938,0,0.00268002796550921,0,0.0397343276625495,0.000582614775110697,0.32626427406199,0.218597063621533
"Sample-63",0.000448531060775959,0.0192868356133662,0,0.294572774164611,0.0467593630858937,0,0.00201838977349181,0.0116618075801749,0.15149136577708,0,0.00908275398071316,0.464678178963893
"Sample-66",0.000576103237700196,0.00979375504090333,0.000115220647540039,0.166609056342897,0.14840419403157,0,0.00241963359834082,0.0190114068441065,0.0053001497868418,0,0.0313400161308907,0.61643046433921
"Sample-67",0.00418836314240435,0.0113199003848766,0,0.442834503056373,0.0518451437627349,0.000113199003848766,0.00543355218474077,0.00350916911931175,0.0744849445324881,0.0010187910346389,0.00498075616934571,0.400271677609237
"Sample-72",0.00311302681992337,0.0276580459770115,0,0.163912835249042,0.040110153256705,0,0.000119731800766284,0.00766283524904215,0.0148467432950192,0.000718390804597701,0.0346024904214559,0.707255747126437
"Sample-73",0.00473831574413095,0.0117381003661426,0,0.559444324790006,0.0181994400172302,0,0.00312298083135904,0,0.00850743054059875,0.00247684686625027,0.000215377988369589,0.391557182855912
"Sample-75",0.00050251256281407,0.00276381909547739,0,0.035427135678392,0.00389447236180905,0,0.000125628140703518,0.00050251256281407,0.0791457286432161,0.000376884422110553,0.00540201005025126,0.871859296482412
"Sample-76",0.0032,0.0096,0,0.3616,0.0673230769230769,0,0.00553846153846154,0,0.0402461538461538,0.000246153846153846,0,0.512246153846154
"Sample-78",0.00344488188976378,0.176181102362205,0,0.109251968503937,0.0295275590551181,0,0,0.00344488188976378,0.0142716535433071,0.00246062992125984,0.00344488188976378,0.657972440944882
"Sample-81",0.00178542444408375,0.0480441486771628,0.000324622626197046,0.26148352540172,0.0855380620029216,0.000162311313098523,0.000973867878591138,0.0749878266515176,0.0186658010063301,0,0.0326245739328031,0.475409836065574
"Sample-82",0.0107238605898123,0.217000473111497,0,0.187509856489513,0.0236555748304684,0,0.000315407664406245,0.00126163065762498,0.149660936760763,0.00283866897965621,0.00110392682542186,0.405929664090837
"Sample-84",0.00663746183459445,0.021505376344086,0.000265498473383778,0.446568432231515,0.0260188503916102,0,0.000929244656843223,0.000132749236691889,0.0926589672109385,0.000398247710075667,0.00331873091729723,0.401566440992964
"Sample-86",0.00428107469737231,0.0125479775612637,0,0.311189843519339,0.0642161204605846,0.00118098612341305,0.00457632122822557,0.00501919102450546,0.0323294951284322,0.000590493061706525,0.00428107469737231,0.559787422497786
"Sample-87",0.00460455037919827,0.0471289274106176,0,0.37283315276273,0.0771939328277357,0.000947995666305525,0.00541711809317443,0.0693391115926327,0.0595882990249187,0.000135427952329361,0.00785482123510292,0.354956663055255
"Sample-89",0.00234047795023405,0.00640551860064055,0,0.233924611973392,0.0588814979058881,0,0.00492732200049273,0,0.0149051490514905,0.000246366100024637,0.000123183050012318,0.678245873367825
"Sample-91",0.00174563591022444,0.0143391521197007,0,0.25211970074813,0.100249376558603,0,0.00286783042394015,0.022069825436409,0.100498753117207,0,0.0163341645885287,0.489775561097257
"Sample-92",0.0105128205128205,0.0319230769230769,0,0.252435897435897,0.0114102564102564,0,0.000512820512820513,0.000769230769230769,0.106025641025641,0.000128205128205128,0.393333333333333,0.192948717948718
"Sample-93",0.00136054421768707,0.0136054421768707,0.000272108843537415,0.291700680272109,0.0159183673469388,0,0.00476190476190476,0.000136054421768707,0.440816326530612,0.000408163265306122,0,0.231020408163265
"Sample-98",0.00427553444180523,0.0166270783847981,0,0.202850356294537,0.0563737133808393,0,0.00221694378463975,0.00205859065716548,0.506254948535234,0.000158353127474268,0,0.209184481393508
