type,antigen,month,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6,MDS7,MDS8,MDS9,MDS10
IgA,gp41,0,0.7762256275719471,0.5587514524149934,0.42428341774899214,0.564511331252409,0.9393059588545662,0.5866502354891744,0.21752011560761647,0.3751222440601766,0.0855244546532217,0.8112714365305254
IgA,gp41,6.5,0.16621940531608587,0.44599938115861404,0.7229380539913353,0.47528443110930246,0.11876791154974123,0.14402841786216083,0.5361616275763044,0.41737477408467655,0.8947623921430319,0.3854448322198611
IgA,gp41,12,0.7688909103820232,0.21157911991611195,0.33954466451692555,0.5530334770252736,0.8526116820271452,0.9759585625932254,0.6774631334755836,0.10460754731773692,0.5022036066238196,0.11588884750267345
IgA,p24,0,0.2668934442064456,0.7026930315378292,0.6119186681716244,0.9761321750470378,0.730921513936831,0.7623476432742494,0.13134239677390322,0.9338953026524697,0.920523846420903,0.43766848728932284
IgA,p24,6.5,0.6445270543936711,0.3342774233211652,0.5194432992697904,0.7374272152606546,0.3146211858562213,0.5087070600600165,0.8662766739050158,0.24517197916227143,0.43949448919044065,0.5641850391979477
IgA,p24,12,0.48841765832641393,0.6770838892160016,0.3540188359646975,0.0658327308384289,0.3513255136519782,0.3098504364317458,0.7009478047926585,0.20734991437349984,0.4595791496295238,0.4361602933787647
IgG,Con.6.gp120.B,6.5,0.020238378528103337,0.5556039320767339,0.30243114994883324,0.9089608619005057,0.2635154638165574,0.4582671957358065,0.9587498792250533,0.7485485567615608,0.7198069074803815,0.2882798643330364
IgG,Con.6.gp120.B,12,0.03805629739962904,0.9078293129980493,0.3117681412497483,0.5696384454213422,0.7268076437549993,0.5332596293807057,0.45102330243274885,0.4050453579202975,0.6377920352889281,0.5032044300445403
IgG,gp41,0,0.0478761233901766,0.9209758593557779,0.21846330702868744,0.4885997163660755,0.5618618364635368,0.3348514885348942,0.4739799521332373,0.5097703862554339,0.6723069234794736,0.56499927059053
IgG,gp41,6.5,0.07203115999341979,0.27309126974663434,0.19227079813971282,0.5463698813998299,0.988273862571589,0.2900693342197795,0.5567792072315485,0.3748375458134874,0.20828413219481207,0.6783036672334729
IgG,gp41,12,0.6984947164660518,0.33261551087201086,0.28054651853841606,0.4015745411089278,0.48793375904035113,0.348595873991461,0.8081914483816564,0.04662271702918872,0.5691282259724886,0.03440911524395034
IgG,gp70_B.CaseA_V1_V2,6.5,0.6884851226858448,0.8611854133080995,0.23779379391092353,0.4520635040202287,0.7543795656434868,0.6616828306134153,0.39138569587790883,0.14370635546435415,0.09990587673845852,0.3836281061682051
IgG,gp70_B.CaseA_V1_V2,12,0.033053483003611224,0.7105871284064371,0.8440956600091082,0.241735749546516,0.4343288174049515,0.45088592813374306,0.8758740099183376,0.19219652017504732,0.7965031723238762,0.26314915687848556
IgG,p24,0,0.4833627773972351,0.20897863689719842,0.6506683494443692,0.04635145087256128,0.4431308442738415,0.06820273042556593,0.8778806759545692,0.5495836048780323,0.8505557862138718,0.2992247484510043
IgG,p24,6.5,0.3209386146861878,0.8204096351681721,0.3723784194218444,0.14391755804982426,0.917422002728531,0.07273840698181137,0.2783842997858045,0.9879783249253125,0.67999687645156,0.06851608021159922
IgG,p24,12,0.1596805528646141,0.6911690090315694,0.28778937591943915,0.8294781291491414,0.9181503206190595,0.27812548655739977,0.05035754281307827,0.45315003023009903,0.6430501665395709,0.1407562861392239
IgG,ZM96.gp140,6.5,0.03932031995872836,0.620349252327997,0.1601739228116732,0.5988752838147458,0.22051378149087278,0.9758504864083105,0.9605240462145437,0.8382788321271191,0.2532371115241431,0.1510515968840272
IgG,ZM96.gp140,12,0.21934926430755286,0.3241987288787599,0.30808018141072463,0.50385416467441,0.8734600047240575,0.5841687561899825,0.6032612464891334,0.364167445945141,0.18155159883784133,0.028216472295202612
CD4+,ANY.ENV.PTEG,6.5,0.27553621573330084,0.5581963831787442,0.9746027107488071,0.07739791280877281,0.7002248071553125,0.0732093401495099,0.3957871613075434,0.12905834228423219,0.7806450107374626,0.23367469937200663
CD4+,ANY.ENV.PTEG,12,0.26939582012862046,0.632378222081371,0.6516565336016698,0.04691347729091071,0.33001793163211585,0.9414035156225461,0.6273537090768984,0.16111615742125052,0.7590921891879011,0.8640534236931503
