"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","MDS1_R2","MDS1_Coef"
"1","IgG","Con.6.gp120.B","12.0","0.00113","0.0226","5.37e-05","0.000122","0.06579","-3.06e+01"
"2","IgG","p24"," 6.5","0.02189","0.2189","2.82e-02","0.021275","0.00127","-1.06e+40"
"3","IgG","ZM96.gp140"," 6.5","0.04245","0.2830","2.49e-02","0.021275","0.07934","-8.16e-01"
