"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","MDS1_R2","MDS1_Coef"
"1","IgG","Con.6.gp120.B","12.0","0.00068","0.0136","1.43e-05","0.00014","0.530","-1.150"
"2","IgG","p24"," 6.5","0.02725","0.1933","5.30e-02","0.10202","0.184","-0.787"
"3","IgG","ZM96.gp140"," 6.5","0.02899","0.1933","1.69e-02","0.08273","0.246","-0.783"
