oldGroups,Phylum,Class,Order,Family,Genus
Clostridium_XVIII ramosum,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae
Collinsella aerofaciens,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Collinsella aerofaciens
Coprobacillus cateniformis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichaceae
Coprobacter,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Coprobacter
Coprobacter fastidiosus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Coprobacter
Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Lachnospiraceae
Coprococcus catus,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Coprococcus comes,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Coriobacteriaceae,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae
Coriobacteriaceae.1,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae
Coriobacteriaceae.2,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.1
Coriobacteriaceae.3,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.1
Coriobacteriaceae.4,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Coriobacteriaceae.5,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Corynebacterium amycolatum/lactis,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium aurimucosum,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium coyleae/mucifaciens,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium imitans,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium pseudogenitali et al.,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium pseudogenitalium,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium simulans/stria et al.,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Corynebacterium sundsvallense/ et al.,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Desulfovibrio,Proteobacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Desulfovibrionales,Proteobacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Dialister,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister invisus,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister micraerophilus,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister pneumosintes,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Dialister propionicifaciens,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
